ztfname,ra_host,dec_host,mass_x,mass_err_x,restframe_gz_x,restframe_gz_err_x,d_dlr,mass_y,mass_err_y,restframe_gz_y,restframe_gz_err_y,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted
ZTF20acgnzhj,,,,,,,,7.839,0.826,2.11269653,3.024492188781,0.06137932,0.00308707,z_snid,59138.61080827086,0.0011299697376877,0.8560401899297394,-0.024267406445182,0.1851455422947765,3.671807578403078e-05,0.1422998706270343,0.0312927327647835,-1.5410526968705088e-07,-0.0073379736954147,-4.667949873719668e-05,-5.564606955032474e-07,-9.526094666085594e-07,-0.0003997211784931,0.068902719684713,3.1,0.0,0.8925770976376199,75.049315,6.054644,snia-cosmo,norm,1.0,1.0,2020vdm,100.0
ZTF20acgokbj,95.86268814,50.87696662,9.255,0.1062826420446913,1.02969653,0.079630396206,0.2292614860719131,9.116,0.131,1.24369653,0.12486793023,0.09317023,0.00289871,z_snid,59133.83131063439,0.000530904055944,-0.0841623191946264,-0.0765912880560245,0.1222258635971229,1.6660741063940403e-05,0.1232314065833977,0.0301486234727981,-2.2593449788562085e-07,-0.001380123205256,0.0002224455784521,-2.071940906240337e-07,-4.219922545211742e-07,-0.0002358233974359,0.1229018643397701,3.1,0.0,0.0908397146654825,95.86262,50.877052,snia-cosmo,norm,1.0,1.0,2020utn,100.0
ZTF20acgpigm,243.490831411046,49.97658059097535,9.238,0.1062826420446913,0.75369653,0.079202272695,0.9381917806121364,8.069,0.208,0.60369653,0.276342179191,0.09216395,1.036e-05,z_gal,59135.331773623744,0.0005376947919281,0.924292023333436,-0.0539819429269584,0.354987495487876,2.1094851033460376e-05,0.5552926396549787,0.0391247768058534,-1.960212415455832e-06,0.0797855360649911,0.0031441801768836,-5.131570599855064e-06,-6.703840568415566e-07,0.0057734031095607,0.016575301301729,3.1,0.0,0.1447152689674784,243.490983,49.975763,snia-cosmo,norm,1.0,1.0,2020uzt,100.0
ZTF20acgpngg,356.29331685,-25.82348033,10.547,0.1198165264060012,1.28969653,0.019209372712,0.5014201049988327,8.936,0.083,1.21069653,0.028425340807,0.05306671,1.414e-05,z_gal,59133.07229293215,0.0011207518627073,-1.718525397713467,0.0265775449651828,0.2713431294178008,5.948422243666604e-05,0.1794507081891587,0.0448223998867779,-1.0618391516598166e-06,-0.011239590835046,-0.0001568741550327,-3.472693286242116e-06,-2.3945692787083386e-06,0.0016654217792998,0.0191385232371153,3.1,0.0,0.6850005338944262,356.294131,-25.822328,snia-cosmo,norm,1.0,1.0,2020uwo,100.0
ZTF20acgpqqr,18.511105624597405,14.378441687390556,9.706,0.1023914058893616,0.71169653,0.024413111231,2.1869242502992106,7.741,0.257,0.44869653,0.353160020387,0.05954494,1.225e-05,z_gal,59136.30301544761,0.0011999559748935,0.4471340478898355,-0.0782328129778048,0.1483226897689746,3.8665881926807527e-05,0.1501055928845638,0.0309089669633653,-9.288991511653253e-08,-0.0008435282969873,6.644919754947876e-05,-6.799691735079558e-07,-9.815566707787303e-07,-0.0004413058430283,0.0564938490420827,3.1,0.0,0.3269816345315419,18.511398,14.381184,snia-cosmo,99aa,1.0,1.0,2020uvf,100.0
ZTF20acgprcg,359.2651290579201,17.90370378808297,9.84,0.1023914058893616,0.82169653,0.025806975801,0.8362847220468929,8.695,0.078,0.81369653,0.111946415753,0.07912036,0.00150489,z_SEDm,59135.00347921541,0.0004944755977295,-0.2649348141265485,0.0576454656601806,0.1642376643430907,1.6431903252084285e-05,0.1864907248421406,0.0325648740540054,-1.8928476588504065e-07,-0.002509992383841,0.0003721468475716,-5.565505332339265e-07,-4.372217953362634e-07,-0.0001100914582286,0.0236096252760141,3.1,0.0,0.9695440124867956,359.264641,17.904,snia-cosmo,norm,1.0,1.0,2020uwr,100.0
ZTF20acgrjqt,122.98792112282528,80.40304596269203,10.229,0.1016070863670443,1.02969653,0.021400934559,1.850376511355546,7.77,0.243,1.04569653,0.198040399919,0.06594979,0.00315317,z_snid,58846.44345559648,0.0011843713009242,-0.924972946429051,-0.2289738873698003,0.4047829430492129,0.0002894253534044,0.8132580713069828,0.1725359871473937,-0.0001025461117526,0.2932602425802831,0.061519569699776,-0.0002214963238704,-5.066869153332365e-05,0.1317586141077471,0.0224688245448135,3.1,0.0,0.65154906067254,122.990574,80.405632,snia-cosmo,norm,1.0,0.0,2019xhk,100.0
ZTF20acgrvqo,81.27878302171403,-21.24642217497894,9.525,0.1012719112093773,0.63069653,0.020518284529,0.2643683105226436,9.401,0.013,0.65269653,0.021260291625,0.02886664,0.00015044,z_gal,59123.64551529332,0.0061310390983991,1.118511531563514,0.0193297807389972,0.4444428882743523,0.0002835559709879,0.1838840258035314,0.0361450389551728,-5.853595857065721e-05,-0.0446927427949535,0.0044464215279276,-2.0178769283246007e-06,-8.888597862456457e-06,-0.0001635367366333,0.0454834857250991,3.1,0.0,0.8172950339174356,81.27906,-21.246445,snia-cosmo,norm,0.0,1.0,2020tpf,100.0
ZTF20acgrvtr,81.0180909727854,-23.02400800360421,8.395,0.116619037896906,0.74169653,0.11541230437,2.85645416594788,7.76,0.291,1.09669653,0.342531750353,0.0776353,0.00375366,z_snid,59126.76054663665,0.0004325922233532,0.1311453388922228,0.2259557013931574,0.7417483953759074,2.913007387158532e-05,0.3650319928603506,0.0495886048938011,-1.0469393971055251e-05,-0.1504628119693326,0.0088735294021056,-1.6732514579369789e-06,-1.2832570799851223e-06,0.0036814749426517,0.0233430837903021,3.1,0.0,0.7127122385780351,81.018832,-23.024234,snia-cosmo,norm,1.0,1.0,2020ufe,100.0
ZTF20acgrwej,127.57404535982296,-2.01383417358186,8.477,0.1146123902551552,-0.31930347,0.767195542219,2.226710796845579,7.504,0.283,-0.03530347,0.783992984662,0.08878603,0.00302696,z_snid,59130.32949988182,0.0005033857491444,-0.4779389864957029,-0.0874412781375142,0.6416270535737567,2.540939752374206e-05,0.3478784276703122,0.0419986893588186,-6.553371322368751e-06,-0.1319103296504638,0.0020774033817425,-1.2035260921989555e-06,-8.507956604878468e-07,0.0024772625829287,0.0269162994263502,3.1,0.0,0.1319023305879336,127.574504,-2.014263,snia-cosmo,norm,1.0,1.0,2020uvi,100.0
