ztfname,mass,mass_err,restframe_gz,restframe_gz_err
ZTF18aarldnh,8.78,0.046,1.00469653,0.080056230239
ZTF18aarlukc,10.054,0.112,1.26069653,0.018384776311
ZTF18aarohda,8.847,0.036,1.07469653,0.069354163538
ZTF18aaroihe,9.017,0.136,1.38569653,0.033941125497
ZTF18aarqnje,6.429,0.408,0.89669653,1.446634715469
ZTF18aartjmf,9.628,0.038,1.01869653,0.021400934559
ZTF18aarunub,8.957,0.023,0.86469653,0.031827660926
ZTF18aarwxum,8.631,0.034,0.45469653,0.062361847311
ZTF18aarxzmv,8.207,0.156,1.22069653,0.187445992222
ZTF18aarymnz,7.404,0.109,0.81369653,0.125099960032
ZTF18aasdted,8.511,0.024,0.65469653,0.022671568098
ZTF18aasesgl,9.757,0.1,1.27169653,0.021400934559
ZTF18aashtth,8.879,0.031,0.66669653,0.05
ZTF18aaslhxt,8.212,0.048,0.43669653,0.09915644205
ZTF18aasprui,9.369,0.048,0.96369653,0.021931712199
ZTF18aasrssa,8.075,0.009,0.55569653,0.080062475605
ZTF18aasrsst,8.604,0.156,1.37669653,0.170238068598
ZTF18aataafd,9.037,0.031,0.83569653,0.031112698372
ZTF18aatrkga,9.135,0.06,0.88969653,0.019104973175
ZTF18aatzygk,9.818,0.071,1.10169653,0.019209372712
ZTF18aauhxce,6.077,0.199,1.50269653,0.673207991634
ZTF18aauizcr,8.798,0.028,1.15969653,0.105118980208
ZTF18aaumeys,8.066,0.037,0.67169653,0.058821764679
ZTF18aaumlfl,7.959,0.121,1.56569653,0.185067555233
ZTF18aaunfqq,9.359,0.026,0.85569653,0.021400934559
ZTF18aauocnw,8.8,0.048,0.97869653,0.127027556066
ZTF18aaupmks,9.604,0.016,1.05169653,0.017804493815
ZTF18aauvnhh,9.144,0.025,0.90569653,0.026076809621
ZTF18aauworo,7.024,0.204,0.17469653,0.359555280868
ZTF18aauxltf,8.537,0.097,1.19069653,0.132136293273
ZTF18aavjnfx,7.631,0.254,0.74569653,0.205761998435
ZTF18aavniyw,9.066,0.099,1.11869653,0.030232432916
ZTF18aavnvmp,8.934,0.016,1.03269653,0.027658633372
ZTF18aavnxar,10.149,0.08,1.54869653,0.021400934559
ZTF18aavrmlf,10.324,0.035,1.22969653,0.022203603311
ZTF18aavrwhu,8.914,0.044,0.90169653,0.033120990323
