ztfname,ra_host,dec_host,mass,mass_err,restframe_gz,restframe_gz_err,d_dlr
ZTF18aaoektp,227.356868417194,25.470869034684576,8.886,0.1023914058893616,0.60169653,0.025455844123,0.5364830468089469
ZTF18aaommeg,254.714788589854,30.1852124220346,9.947,0.1386217876093076,1.39869653,0.036619666847,0.4425544705336694
ZTF18aaotzhu,223.21032494205625,18.075638969450605,10.737,0.116619037896906,1.34269653,0.019209372712,3.5586524180008503
ZTF18aaoufjt,215.3224707102314,35.50939535033654,9.882,0.1069766329625306,0.92369653,0.020615528128,0.3795127493702664
ZTF18aaovbiy,231.6598322979076,28.866453098430974,10.052,0.1026109155986827,0.98269653,0.022803508502,0.271161684901604
ZTF18aaoxrup,240.2162066001832,56.35296187357684,10.627,0.1546738504078824,1.35369653,0.017691806013,0.0975938563896521
ZTF18aaphzut,187.3231278042932,6.34104187060435,9.673,0.1274401820463232,1.30969653,0.02941088234,0.4330294125402994
ZTF18aapictz,179.9044968749896,27.530720614845112,8.088,0.159298462013919,0.36269653,0.160256045128,0.8182537805408815
ZTF18aapqwyv,251.6054197208668,25.42148755947841,10.052,0.1171366723105962,1.17769653,0.017691806013,0.0046165966225918
ZTF18aapsedq,215.3992715022769,49.5511895536138,11.479,0.148660687473185,1.39069653,0.018439088915,1.4027618045741013
ZTF18aapuntm,250.7099726604602,43.66262255262642,9.741,0.1232233744059949,0.98669653,0.052,0.0295385749106892
ZTF18aaqcozd,190.55014272663715,42.27332212184967,11.282,0.1096585609973065,1.32669653,0.017691806013,2.351020690766969
ZTF18aaqcqkv,196.51034915473,48.2774219666426,9.962,0.1141271221051332,1.46169653,0.076941536247,0.2288291473107728
ZTF18aaqcqve,198.09803879626384,47.45072202548232,8.965,0.1640121946685672,1.01369653,0.285212201703,0.1297803202519086
ZTF18aaqcqvr,193.85285849637265,45.57878262271799,9.478,0.1066255128944288,0.73269653,0.022022715546,0.4770659466234729
ZTF18aaqcugm,202.05341061,53.91170811,10.336,0.1400142849854971,1.21269653,0.018439088915,3.17588338318261
ZTF18aaqculk,223.08574391307457,30.90597171072203,8.684,0.1141271221051332,0.86269653,0.104355162786,1.4763064678723492
ZTF18aaqeasu,185.84675277621736,46.60297767324738,11.048,0.1569745202254175,1.32969653,0.017691806013,3.27392886160826
ZTF18aaqedfj,206.35528240421863,26.42449492304708,9.682,0.1209297316626478,1.11769653,0.021260291625,0.4946672276046747
ZTF18aaqehoc,228.1856547901496,40.1098932817581,9.989,0.1066255128944288,1.06469653,0.019104973175,0.0362196837611837
ZTF18aaqeygf,200.34970957038456,68.82713349294283,9.4,0.1062826420446913,0.70169653,0.053141321022,1.8671544457549232
ZTF18aaqffyp,231.9464688946052,34.94871201819876,9.438,0.1011187420807834,0.44169653,0.038078865529,1.37889340614979
ZTF18aaqfkqh,217.6065929746869,11.927983917255435,11.252,0.1861424185939357,1.31269653,0.018439088915,1.46217353956977
ZTF18aaqfziz,224.7672399545258,19.58726971429715,10.801,0.1044030650891055,1.12569653,0.019209372712,0.5958746156693103
ZTF18aaqgadq,222.28694382908512,16.45764758433234,10.461,0.1471869559437928,1.25269653,0.020615528128,0.6056477870886937
ZTF18aaqgbju,236.56668058493224,29.09420980301825,9.201,0.125,0.49969653,0.069260378284,1.2546506128504706
ZTF18aaqgoqw,190.45998712251432,68.26015259956993,9.231,0.1151043005278256,0.97569653,0.055569775958,0.8910925881643568
ZTF18aaqjhqz,129.9274699205602,41.01652876626756,9.163,0.1021812115802117,0.15969653,0.097082439195,1.9300523511805088
ZTF18aaqjvjr,189.62150340902284,39.00311594055931,9.654,0.1069766329625306,0.88069653,0.057870545185,0.3248176483153954
ZTF18aaqjxid,200.84079224227247,45.64507046047221,9.537,0.1136485811614029,0.59669653,0.072801098893,0.9749282472893508
ZTF18aaqkcso,204.05419355926944,38.3549874847193,7.874,0.1049952379872535,0.94169653,0.036069377594,0.1946204558903333
ZTF18aaqkjuw,174.79360949896298,56.13627492136852,10.782,0.1141271221051332,1.35369653,0.023021728866,0.0583382723297013
ZTF18aaqkqxi,167.96904025827828,39.60503632194872,10.301,0.1023914058893616,1.14169653,0.019798989873,0.0745672358631119
ZTF18aaqnrum,248.5666360883833,26.88968949480593,8.753,0.1442775103749714,1.00369653,0.11833849754,1.322879908996318
ZTF18aaqpjja,122.47373021917316,35.07658492502578,10.417,0.1122541758688735,1.06869653,0.018439088915,0.560439788976407
ZTF18aaqpkvx,118.7633938131286,14.357689480435075,10.477,0.1332066064427737,1.19069653,0.020615528128,0.1509448759741201
ZTF18aaqpsvo,199.62735146103432,32.00240131410042,9.587,0.1030776406404415,0.89969653,0.085615419172,0.6463376103633857
ZTF18aaqqhis,155.7600336493555,45.70249865438895,9.893,0.1012719112093773,0.99469653,0.018384776311,0.0502048876800087
ZTF18aaqqoqs,207.9696317111443,47.2574787769108,8.846,0.107335921293852,0.44769653,0.096767763227,1.5471032212045086
ZTF18aaqskoy,255.907052662628,36.42818617954353,8.656,0.1203702621082134,0.53269653,0.116927327858,4.30325652414537
ZTF18aaqvuhl,239.29839094679755,34.52536819679254,9.625,0.1244025723206719,1.15369653,0.019104973175,0.0667591745155405
ZTF18aarbaba,270.75528371,20.63128264,11.007,0.1038460398859773,1.31369653,0.016970562748,0.1317938939975656
ZTF18aarbgdn,155.67136921611308,15.939398831276286,10.595,0.1192686044187656,1.12569653,0.018439088915,0.1844187671926083
ZTF18aarbgpc,152.46199059639622,22.61326323121058,7.907,0.6230770417853638,1.93469653,2.54811636312,0.5139962862054221
ZTF18aarbify,155.08781485016354,29.4126413913518,10.814,0.1171366723105962,1.29269653,0.019104973175,0.0388741101452085
ZTF18aarcygc,151.48322435692282,34.49796925192971,8.318,0.1312440474840669,0.83469653,0.093621578709,1.1316069232195816
ZTF18aarcypa,167.45957798891962,28.97132667940567,10.453,0.1554380905698471,1.21369653,0.017691806013,0.1150836119047994
ZTF18aarikzk,226.26485936877265,28.815462972940207,10.261,0.1256025477448606,1.27469653,0.018439088915,0.0798240212251188
ZTF18aaripcr,222.39927020034696,25.381310995457355,10.808,0.1016070863670443,1.06469653,0.019209372712,2.8598681472289065
ZTF18aarktll,165.62031630892423,34.30266109810044,9.03,0.122065556157337,0.48069653,0.049040799341,1.025829237628326
ZTF18aarldnh,195.65601543920727,55.92418474898652,11.015,0.1161077086157504,1.11069653,0.023430749028,0.8435537336595309
ZTF18aarlukc,172.86860065573566,62.1698391178887,10.341,0.1442775103749714,1.21869653,0.019104973175,0.0254768607319297
ZTF18aarohda,195.6404834518548,36.38703651530041,10.232,0.1017889974407843,1.41669653,0.026248809497,0.4606997183812437
